model_x,price,rating,os,sim_type,network_type,VoLTE,NFC,ir_blaster,chipset,core_type,clock_ghz,ram_gb,storage_gb_x,battery_mah,fast_charge_w,screen_size_in,resolution,refresh_rate_hz,display_type,rear_camera_mp_list,rear_camera_count,rear_camera_max_mp,front_camera_mp,memory_card_supported,memory_card_type,memory_card_max_gb,brand,display_area_cm2,battery_kwh,carbon_battery,annual_kwh,lifetime_kwh,carbon_use,carbon_display,estimated_mass_g,mass_estimated,core_type_numeric,performance_index,storage_reconstructed,total_camera_mp,carbon_electronics,carbon_materials,carbon_assembly,carbon_transport,pcf_base,synthetic_label,pcf_kg_co2e_x,pct_use,pct_electronics,pct_battery,pct_display,pct_materials,pct_other,pct_sum,data_tier,is_flagship,data_processed_year,merge_model,manufacturer,model_y,storage_gb_y,pcf_kg_co2e_y,boundary,region,page,source_text,canon_model
apple iphone 14 pro max,169900,78.0,iOS v16,Dual,5g,True,True,False,Bionic  A16,Hexa Core,2.36,6,128,4323.0,,6.7,1290x2796,120.0,,"[48, 12, 12]",3,48.0,12.0,1,,,apple,110.19395742439026,0.0159951,2.399265,6.713943225,20.141829675,9.06382335375,3.3058187227317077,194.93418722731707,True,8.0,22.96,True,60.0,37.81280000000001,3.898683744546341,3,2,61.48039082102806,True,63.97860248772192,0.1474262481534179,0.6150383804500303,0.0390248820470962,0.0537702945375718,0.0634134508984428,0.0813267439134407,1.0,synthetic,False,2026,iphone 14 pro max,apple,iphone 14 pro max,128,73.0,cradle_to_grave,us,3,iphone 14 pro max life cycle carbon emissions: 73 kg co2e,iphone 14 pro max
apple iphone 13,91999,80.0,iOS v15,Dual,5g,True,True,False,Bionic A15,Hexa Core,3.22,4,128,3240.0,,6.1,1170x2532,,Small Notch,"[12, 12]",2,12.0,12.0,1,,,apple,91.34143808780487,0.011988,1.7982,5.031963,15.095889,6.79315005,2.7402431426341467,176.28243142634147,True,8.0,20.48,True,24.0,36.64639999999999,3.5256486285268296,3,2,56.50364182116097,True,56.22333435491893,0.1202249949038846,0.6485670448639239,0.0318244973605677,0.0484967526749383,0.0623968387681243,0.088489871428561,1.0,synthetic,False,2026,iphone 13,apple,iphone 13,128,64.0,cradle_to_grave,us,3,iphone 13 life cycle carbon emissions: 64 kg co2e,iphone 13
apple iphone 15,82990,72.0,iOS v15,Dual,4g,True,True,False,Bionic  A16,,2.36,6,128,3285.0,,6.06,1170x2532,,Punch Hole,"[50, 13]",2,50.0,13.0,1,,,apple,90.1474451964878,0.0121545,1.823175,5.101851375,15.305554125,6.88749935625,2.704423355894634,176.46423355894635,True,8.0,21.76,True,63.0,37.6568,3.529284671178927,3,2,57.60118238332356,True,58.51019731034202,0.1195721870848963,0.6537504690338132,0.0316516940202227,0.0469508305905471,0.06127104557841,0.0868037736921105,1.0,synthetic,False,2026,iphone 15,apple,iphone 15,128,56.0,cradle_to_grave,us,3,iphone 15 life cycle carbon emissions: 56 kg co2e,iphone 15
apple iphone 14,95999,82.0,iOS v16,Dual,5g,True,True,False,Bionic A15,Hexa Core,3.22,6,128,3279.0,,6.1,1170x2532,,Small Notch,"[12, 12]",2,12.0,12.0,1,,,apple,91.34143808780487,0.0121323,1.819845,5.0925329249999995,15.277598774999998,6.874919448749999,2.7402431426341467,176.7504314263415,True,8.0,26.92,True,24.0,37.80559999999999,3.53500862852683,3,2,57.77561621991097,True,58.48281875561496,0.1189934421916338,0.6543521726553425,0.0314984957161362,0.0474290595569587,0.061185130679897,0.0865416992000315,1.0,synthetic,False,2026,iphone 14,apple,iphone 14,128,61.0,cradle_to_grave,us,3,iphone 14 life cycle carbon emissions: 61 kg co2e,iphone 14
apple iphone 14 pro,172999,77.0,iOS v16,Dual,5g,True,True,False,Bionic  A16,Hexa Core,2.36,6,128,3200.0,,6.1,1179x2556,120.0,,"[48, 12, 12]",3,48.0,12.0,1,,,apple,91.34143808780487,0.01184,1.776,4.96984,14.90952,6.709283999999999,2.7402431426341467,175.80243142634146,True,8.0,22.96,True,60.0,37.81280000000001,3.516048628526829,3,2,57.554375771160984,True,57.44912720397301,0.1165729609626284,0.656992617735019,0.0308577753855147,0.0476113780389085,0.0610909002385293,0.0868743676393997,1.0,synthetic,False,2026,iphone 14 pro,apple,iphone 14 pro,128,65.0,cradle_to_grave,us,3,iphone 14 pro life cycle carbon emissions: 65 kg co2e,iphone 14 pro
apple iphone 12,51999,74.0,iOS v14,Dual,5g,True,True,False,Bionic A14,Hexa Core,3.1,4,128,5000.0,,6.1,1170x2532,,Large Notch,"[12, 12]",2,12.0,12.0,1,,,apple,91.34143808780487,0.0185,2.775,7.765374999999999,23.296124999999996,10.483256249999998,2.7402431426341467,197.40243142634148,True,8.0,20.0,True,24.0,36.559999999999995,3.9480486285268297,3,2,61.50654802116097,True,61.46677720798714,0.1704413040119451,0.594408256945614,0.0451171475115995,0.0445520555257203,0.0641890783265633,0.0812921576785577,1.0,synthetic,False,2026,iphone 12,apple,iphone 12,64,70.0,cradle_to_grave,us,3,iphone 12 life cycle carbon emissions: 70 kg co2e,iphone 12
google pixel 8 pro,70990,80.0,Android v13,Dual,5g,True,True,False,Google  Tensor 3,Octa Core,2.36,12,256,5000.0,67.0,6.73,1440x3120,120.0,Punch Hole,"[50, 50, 50]",3,50.0,12.0,1,Dedicated,,google,111.18297826302442,0.0185,2.775,7.765374999999999,23.296124999999996,10.483256249999998,3.3354893478907326,203.35489347890737,True,8.0,37.12,True,62.0,44.881600000000006,4.067097869578147,3,2,70.54244346746889,True,72.53617226266753,0.1486092022717418,0.6362354037353052,0.0393380192632497,0.0472834393584468,0.0576546213834188,0.0708793139878374,1.0,synthetic,True,2026,pixel 8 pro,google,pixel 8 pro,128,87.0,cradle_to_grave,us,3,estimated ghg emissions pixel 8 pro assuming three years of use: 87 kg co2e,pixel 8 pro
google pixel 7 5g,53100,86.0,Android v13,Dual,5g,True,True,False,Google Tensor G2,Octa Core,2.85,8,256,4355.0,30.0,6.3,1080x2400,90.0,Punch Hole,"[50, 12]",2,50.0,,1,Dedicated,,google,97.42923079024388,0.0161135,2.417025,6.763641624999999,20.290924875,9.13091619375,2.9228769237073164,191.48876923707311,True,8.0,31.000000000000004,True,50.0,43.54,3.829775384741463,3,2,66.84059350219877,True,68.13922629345396,0.1366073476509395,0.6514005594305161,0.0361610343857956,0.0437290689767912,0.0572971480963208,0.0748048414596366,1.0,synthetic,True,2026,pixel 7,google,pixel 7,128,67.0,cradle_to_grave,us,3,estimated ghg emissions pixel 7 assuming three years of use: 67 kg co2e,pixel 7
google pixel 6,40480,84.0,Android v12,Dual,5g,True,True,False,Google Tensor,Octa Core,2.8,8,256,4614.0,30.0,6.4,1080x2400,90.0,Punch Hole,"[50, 12]",2,50.0,8.0,1,Dedicated,,google,100.546769795122,0.0170717999999999,2.56077,7.165888049999999,21.497664149999995,9.673948867499998,3.0164030938536595,195.5320309385366,True,8.0,30.6,True,58.0,43.62799999999999,3.910640618770732,3,2,67.78976258012439,True,66.28073650787483,0.1427051592940133,0.6435780026288438,0.0377751728658628,0.0444964398612314,0.0576877757043113,0.0737574496457371,1.0,synthetic,True,2026,pixel 6,google,pixel 6,128,85.0,cradle_to_grave,us,3,estimated ghg emissions pixel 6 assuming three years of use: 85 kg co2e,pixel 6
samsung galaxy s23 ultra 5g,114990,80.0,Android v13,Dual,5g,True,True,False,Snapdragon 8 Gen2,Octa Core,3.2,8,256,5000.0,45.0,6.8,1440x3088,120.0,Punch Hole,[200],1,150.0,12.0,1,,,samsung,113.5078768390244,0.0185,2.775,7.765374999999999,23.296124999999996,10.483256249999998,3.405236305170732,204.05236305170732,True,8.0,34.4,True,162.0,46.392,4.081047261034146,3,2,72.13653981620487,True,69.54916306743533,0.1453251885481347,0.6431137412218714,0.0384687151209409,0.0472054289524679,0.0565739259386735,0.0693130002179116,1.0,synthetic,True,2026,galaxy s23 ultra,samsung,galaxy s23 ultra,256,70.6,cradle_to_grave,uk,2,galaxy s23 ultra life cycle assessment: 70.6 kg co2 eq.,galaxy s23 ultra
apple iphone 15 pro max,142990,79.0,iOS v15,Dual,5g,True,True,False,Bionic  A16,,2.36,8,256,4352.0,25.0,6.68,1284x2778,120.0,Punch Hole,"[50, 12, 12]",3,50.0,12.0,1,,,apple,109.53706495375609,0.0161024,2.4153600000000006,6.758982400000001,20.2769472,9.12462624,3.286111948612682,195.0851194861268,True,8.0,27.68,True,62.0,43.1824,3.901702389722536,3,2,66.91020057833522,True,65.89016349596749,0.136371228319923,0.6453784270074656,0.0360985317503601,0.0491122716747121,0.0583125197054911,0.0747270215420478,1.0,synthetic,False,2026,iphone 15 pro max,apple,iphone 15 pro max,256,75.0,cradle_to_grave,us,3,iphone 15 pro max life cycle carbon emissions: 75 kg co2e,iphone 15 pro max
samsung galaxy s23,70990,88.0,Android v13,Dual,5g,True,True,False,Snapdragon 8 Gen2,Octa Core,3.2,8,256,3900.0,25.0,6.1,1080x2340,120.0,Punch Hole,"[50, 12, 10]",3,50.0,12.0,1,Dedicated,,samsung,91.34143808780487,0.01443,2.1645,6.0569925,18.1709775,8.176939875,2.7402431426341467,184.2024314263415,True,8.0,34.4,True,62.0,44.392,3.68404862852683,3,2,66.15773164616098,True,67.28563119519114,0.1235976456800796,0.6710024496823266,0.0327172644246124,0.0414198473020523,0.0556858365131176,0.0755769563978111,1.0,synthetic,True,2026,galaxy s23,samsung,galaxy s23,128,54.0,cradle_to_grave,uk,2,galaxy s23 life cycle assessment 54.0 kg co2 eq.,galaxy s23
apple iphone 15 pro,130990,75.0,iOS v15,Dual,5g,True,True,False,Bionic  A16,,2.36,8,256,5000.0,,6.06,1170x2532,120.0,Punch Hole,"[50, 12, 12]",3,50.0,12.0,1,,,apple,90.1474451964878,0.0185,2.775,7.765374999999999,23.296124999999996,10.483256249999998,2.704423355894634,197.04423355894633,True,8.0,27.68,True,62.0,43.1824,3.9408846711789263,3,2,68.08596427707356,True,69.09047310031862,0.1539708860895138,0.6342335084551446,0.0407572989450106,0.0397207175459698,0.0578810142886664,0.0734365746756947,1.0,synthetic,False,2026,iphone 15 pro,apple,iphone 15 pro,128,66.0,cradle_to_grave,us,3,iphone 15 pro life cycle carbon emissions: 66 kg co2e,iphone 15 pro
